"chr","start","end","methodname"
"chr1",13842165,13846098,"ProbeLasso"
"chr1",14027406,14031093,"ProbeLasso"
"chr1",15250296,15250467,"ProbeLasso"
"chr1",15254393,15256276,"ProbeLasso"
"chr1",15271344,15272594,"ProbeLasso"
"chr1",15391947,15393394,"ProbeLasso"
"chr1",15573504,15573629,"ProbeLasso"
"chr1",15910843,15911134,"ProbeLasso"
"chr1",16059925,16061454,"ProbeLasso"
"chr1",16062633,16063175,"ProbeLasso"
"chr1",16081356,16084847,"ProbeLasso"
"chr1",16257646,16259419,"ProbeLasso"
"chr1",16338243,16342767,"ProbeLasso"
"chr1",16370186,16370345,"ProbeLasso"
"chr1",16489045,16492536,"ProbeLasso"
"chr1",16553105,16553430,"ProbeLasso"
"chr1",16554504,16557995,"ProbeLasso"
"chr1",16761384,16764613,"ProbeLasso"
"chr1",17338582,17338709,"ProbeLasso"
"chr1",17381230,17384721,"ProbeLasso"
"chr1",17575346,17575867,"ProbeLasso"
"chr1",17749359,17752510,"ProbeLasso"
"chr1",17766058,17766335,"ProbeLasso"
"chr1",17845455,17848069,"ProbeLasso"
"chr1",17865651,17865776,"ProbeLasso"
"chr1",17943870,17945147,"ProbeLasso"
"chr1",17972855,17973977,"ProbeLasso"
"chr1",17997088,17998152,"ProbeLasso"
"chr1",18059022,18061758,"ProbeLasso"
"chr1",18617143,18618278,"ProbeLasso"
"chr1",18691632,18691923,"ProbeLasso"
"chr1",18699764,18701809,"ProbeLasso"
"chr1",19043494,19043651,"ProbeLasso"
"chr1",19051693,19052690,"ProbeLasso"
"chr1",19110815,19111140,"ProbeLasso"
"chr1",19216986,19217959,"ProbeLasso"
"chr1",19229048,19229133,"ProbeLasso"
"chr1",19245483,19246644,"ProbeLasso"
"chr1",19653451,19657494,"ProbeLasso"
"chr1",19665050,19665266,"ProbeLasso"
"chr1",19763993,19765307,"ProbeLasso"
"chr1",19923430,19923547,"ProbeLasso"
"chr1",20138807,20142850,"ProbeLasso"
"chr1",20248718,20249691,"ProbeLasso"
"chr1",20465110,20465327,"ProbeLasso"
"chr1",20617192,20617717,"ProbeLasso"
"chr1",20798546,20801306,"ProbeLasso"
"chr1",20813551,20813728,"ProbeLasso"
"chr1",20960532,20960823,"ProbeLasso"
"chr1",21586345,21587661,"ProbeLasso"
"chr1",21835373,21835498,"ProbeLasso"
"chr1",21877062,21878041,"ProbeLasso"
"chr1",21933474,21935213,"ProbeLasso"
"chr1",21965824,21966986,"ProbeLasso"
"chr1",22110126,22110197,"ProbeLasso"
"chr1",22206173,22208046,"ProbeLasso"
"chr1",22262924,22263897,"ProbeLasso"
"chr1",22351326,22351487,"ProbeLasso"
"chr1",22470228,22470406,"ProbeLasso"
"chr1",22676483,22679283,"ProbeLasso"
"chr1",22968724,22971953,"ProbeLasso"
"chr1",22974102,22974259,"ProbeLasso"
"chr1",22975873,22979364,"ProbeLasso"
"chr1",23003408,23003571,"ProbeLasso"
"chr1",23516517,23520560,"ProbeLasso"
"chr1",23697378,23698907,"ProbeLasso"
"chr1",23885959,23886082,"ProbeLasso"
"chr1",23887241,23890732,"ProbeLasso"
"chr1",24018024,24018149,"ProbeLasso"
"chr1",24069533,24069712,"ProbeLasso"
"chr1",24125901,24126164,"ProbeLasso"
"chr1",24152471,24152713,"ProbeLasso"
"chr1",24194996,24198762,"ProbeLasso"
"chr1",24229460,24229797,"ProbeLasso"
"chr1",24239511,24240032,"ProbeLasso"
"chr1",24645247,24647029,"ProbeLasso"
"chr1",25071248,25071373,"ProbeLasso"
"chr1",25240379,25241425,"ProbeLasso"
"chr1",25253942,25254294,"ProbeLasso"
"chr1",25257540,25257655,"ProbeLasso"
"chr1",25347574,25350934,"ProbeLasso"
"chr1",25865891,25869382,"ProbeLasso"
"chr1",26126307,26126569,"ProbeLasso"
"chr1",26503504,26504506,"ProbeLasso"
"chr1",26527384,26528415,"ProbeLasso"
"chr1",26644233,26644754,"ProbeLasso"
"chr1",26733500,26736991,"ProbeLasso"
"chr1",26797392,26797803,"ProbeLasso"
"chr1",26798905,26799006,"ProbeLasso"
"chr1",27113497,27114337,"ProbeLasso"
"chr1",27216716,27216801,"ProbeLasso"
"chr1",27277676,27279057,"ProbeLasso"
"chr1",27324401,27328444,"ProbeLasso"
"chr1",27339550,27339719,"ProbeLasso"
"chr1",27424122,27428576,"ProbeLasso"
"chr1",27668397,27668469,"ProbeLasso"
"chr1",27715056,27718547,"ProbeLasso"
"chr1",27727799,27731439,"ProbeLasso"
"chr1",27816571,27816709,"ProbeLasso"
"chr1",27850428,27855207,"ProbeLasso"
"chr1",27897142,27900639,"ProbeLasso"
"chr1",27998627,27998788,"ProbeLasso"
"chr1",28831982,28833474,"ProbeLasso"
"chr1",28844333,28844739,"ProbeLasso"
"chr1",28904007,28906411,"ProbeLasso"
"chr1",28974622,28974919,"ProbeLasso"
"chr1",29062862,29063516,"ProbeLasso"
"chr1",29460926,29461089,"ProbeLasso"
"chr1",29675213,29677841,"ProbeLasso"
"chr1",31191398,31191706,"ProbeLasso"
"chr1",31661869,31662143,"ProbeLasso"
"chr1",31769852,31769975,"ProbeLasso"
"chr1",31845825,31846600,"ProbeLasso"
"chr1",32041832,32042421,"ProbeLasso"
"chr1",32082950,32083075,"ProbeLasso"
"chr1",32170458,32173949,"ProbeLasso"
"chr1",32281205,32281726,"ProbeLasso"
"chr1",32410516,32410841,"ProbeLasso"
"chr1",32574140,32574335,"ProbeLasso"
"chr1",32673426,32674955,"ProbeLasso"
"chr1",32707054,32708338,"ProbeLasso"
"chr1",32714124,32718617,"ProbeLasso"
"chr1",32736019,32739865,"ProbeLasso"
"chr1",32827782,32827883,"ProbeLasso"
"chr1",33230583,33231800,"ProbeLasso"
"chr1",33389271,33392891,"ProbeLasso"
"chr1",33648151,33651642,"ProbeLasso"
"chr1",34174683,34175830,"ProbeLasso"
"chr1",34328367,34332410,"ProbeLasso"
"chr1",34630718,34634681,"ProbeLasso"
"chr1",35220142,35221100,"ProbeLasso"
"chr1",35222408,35224085,"ProbeLasso"
"chr1",35320377,35323606,"ProbeLasso"
"chr1",35350667,35350958,"ProbeLasso"
"chr1",35390024,35394053,"ProbeLasso"
"chr1",35442050,35442375,"ProbeLasso"
"chr1",35586487,35586812,"ProbeLasso"
"chr1",36025355,36027450,"ProbeLasso"
"chr1",36042908,36043092,"ProbeLasso"
"chr1",36108144,36108296,"ProbeLasso"
"chr1",36173843,36174168,"ProbeLasso"
"chr1",36178060,36182286,"ProbeLasso"
"chr1",36235327,36235509,"ProbeLasso"
"chr1",36573376,36576108,"ProbeLasso"
"chr1",36615825,36619316,"ProbeLasso"
"chr1",36788309,36788515,"ProbeLasso"
"chr1",36937658,36938631,"ProbeLasso"
"chr1",37719672,37722358,"ProbeLasso"
"chr1",37772560,37775157,"ProbeLasso"
"chr1",37980671,37980840,"ProbeLasso"
"chr1",38019828,38019959,"ProbeLasso"
"chr1",38100784,38100863,"ProbeLasso"
"chr1",38412259,38412971,"ProbeLasso"
"chr1",38463400,38469318,"ProbeLasso"
"chr1",38470424,38470693,"ProbeLasso"
"chr1",38509891,38510258,"ProbeLasso"
"chr1",38598373,38601452,"ProbeLasso"
"chr1",38756488,38759155,"ProbeLasso"
"chr1",39023571,39026723,"ProbeLasso"
"chr1",39034681,39037283,"ProbeLasso"
"chr1",39044115,39044278,"ProbeLasso"
"chr1",39248062,39250918,"ProbeLasso"
"chr1",39279420,39282911,"ProbeLasso"
"chr1",39920125,39921193,"ProbeLasso"
"chr1",40034373,40034644,"ProbeLasso"
"chr1",40105638,40105713,"ProbeLasso"
"chr1",40255103,40255156,"ProbeLasso"
"chr1",40386414,40389649,"ProbeLasso"
"chr1",40769591,40769823,"ProbeLasso"
"chr1",41119891,41119988,"ProbeLasso"
"chr1",41156899,41157051,"ProbeLasso"
"chr1",41221985,41223388,"ProbeLasso"
"chr1",41444589,41444859,"ProbeLasso"
"chr1",41485294,41488707,"ProbeLasso"
"chr1",41950968,41953475,"ProbeLasso"
"chr1",41977853,41979963,"ProbeLasso"
"chr1",42385542,42389033,"ProbeLasso"
"chr1",42611525,42611768,"ProbeLasso"
"chr1",42626428,42630471,"ProbeLasso"
"chr1",42642011,42646054,"ProbeLasso"
"chr1",43250528,43250853,"ProbeLasso"
"chr1",43282499,43282624,"ProbeLasso"
"chr1",43295981,43296978,"ProbeLasso"
"chr1",43424618,43424703,"ProbeLasso"
"chr1",43472949,43473112,"ProbeLasso"
"chr1",43533634,43533959,"ProbeLasso"
"chr1",43637979,43638235,"ProbeLasso"
"chr1",43734675,43738006,"ProbeLasso"
"chr1",43751339,43751672,"ProbeLasso"
"chr1",43833432,43834243,"ProbeLasso"
"chr1",43855297,43855762,"ProbeLasso"
"chr1",43920099,43920326,"ProbeLasso"
"chr1",44031032,44031323,"ProbeLasso"
"chr1",44085694,44089821,"ProbeLasso"
"chr1",44412520,44412631,"ProbeLasso"
"chr1",44445976,44446207,"ProbeLasso"
"chr1",44507769,44510829,"ProbeLasso"
"chr1",44684773,44688816,"ProbeLasso"
"chr1",44703263,44704560,"ProbeLasso"
"chr1",44715455,44716782,"ProbeLasso"
"chr1",44726457,44727799,"ProbeLasso"
"chr1",44874460,44874691,"ProbeLasso"
"chr1",45105918,45107372,"ProbeLasso"
"chr1",45186712,45188469,"ProbeLasso"
"chr1",45273761,45277375,"ProbeLasso"
"chr1",45283800,45288084,"ProbeLasso"
"chr1",45452518,45452643,"ProbeLasso"
"chr1",45792514,45792756,"ProbeLasso"
"chr1",46089577,46093439,"ProbeLasso"
"chr1",46598306,46598486,"ProbeLasso"
"chr1",46632303,46632743,"ProbeLasso"
"chr1",46645708,46646485,"ProbeLasso"
"chr1",46663770,46665776,"ProbeLasso"
"chr1",46712807,46713041,"ProbeLasso"
"chr1",46951209,46951436,"ProbeLasso"
"chr1",46954591,46954916,"ProbeLasso"
"chr1",46957603,46961094,"ProbeLasso"
"chr1",46999185,46999510,"ProbeLasso"
"chr1",47134302,47134355,"ProbeLasso"
"chr1",47656673,47659180,"ProbeLasso"
"chr1",47692259,47695524,"ProbeLasso"
"chr1",47697347,47697578,"ProbeLasso"
"chr1",47779545,47779782,"ProbeLasso"
"chr1",47878095,47881586,"ProbeLasso"
"chr1",47894940,47898431,"ProbeLasso"
"chr1",48450719,48454485,"ProbeLasso"
"chr1",48455778,48459269,"ProbeLasso"
"chr1",49242754,49243079,"ProbeLasso"
"chr1",50489173,50489464,"ProbeLasso"
"chr1",50573669,50575077,"ProbeLasso"
"chr1",50886841,50887048,"ProbeLasso"
"chr1",50893668,50897996,"ProbeLasso"
"chr1",51442597,51444074,"ProbeLasso"
"chr1",51985196,51985321,"ProbeLasso"
"chr1",52082527,52083085,"ProbeLasso"
"chr1",52499433,52499724,"ProbeLasso"
"chr1",53304497,53307988,"ProbeLasso"
"chr1",53389132,53392623,"ProbeLasso"
"chr1",53513120,53517163,"ProbeLasso"
"chr1",53527349,53527497,"ProbeLasso"
"chr1",53555350,53557027,"ProbeLasso"
"chr1",53969981,53974024,"ProbeLasso"
"chr1",54059496,54060701,"ProbeLasso"
"chr1",54142755,54143276,"ProbeLasso"
"chr1",54194659,54195339,"ProbeLasso"
"chr1",54198082,54201440,"ProbeLasso"
"chr1",54560191,54564565,"ProbeLasso"
"chr1",54808162,54809647,"ProbeLasso"
"chr1",54821764,54822055,"ProbeLasso"
"chr1",54867720,54869397,"ProbeLasso"
"chr1",54940869,54941332,"ProbeLasso"
"chr1",55008098,55008322,"ProbeLasso"
"chr1",55088497,55089858,"ProbeLasso"
"chr1",55181172,55181331,"ProbeLasso"
"chr1",55271823,55272005,"ProbeLasso"
"chr1",55415161,55418043,"ProbeLasso"
"chr1",55445772,55445943,"ProbeLasso"
"chr1",55464444,55466121,"ProbeLasso"
"chr1",58715451,58715601,"ProbeLasso"
"chr1",60280026,60280168,"ProbeLasso"
"chr1",60539608,60539738,"ProbeLasso"
"chr1",61542913,61543044,"ProbeLasso"
"chr1",61544708,61546385,"ProbeLasso"
"chr1",62106177,62108878,"ProbeLasso"
"chr1",62902207,62902304,"ProbeLasso"
"chr1",63062002,63062975,"ProbeLasso"
"chr1",63249088,63249321,"ProbeLasso"
"chr1",63538360,63541470,"ProbeLasso"
"chr1",63790950,63795064,"ProbeLasso"
"chr1",63987932,63988957,"ProbeLasso"
"chr1",64936511,64937597,"ProbeLasso"
"chr1",65467817,65469083,"ProbeLasso"
"chr1",65522830,65525337,"ProbeLasso"
"chr1",65613335,65613454,"ProbeLasso"
"chr1",65719836,65720161,"ProbeLasso"
"chr1",65730365,65730610,"ProbeLasso"
"chr1",65886224,65886347,"ProbeLasso"
"chr1",66254578,66258069,"ProbeLasso"
"chr1",66458201,66459289,"ProbeLasso"
"chr1",66796995,66798549,"ProbeLasso"
"chr1",67217763,67217948,"ProbeLasso"
"chr1",67600148,67600473,"ProbeLasso"
"chr1",67772957,67773291,"ProbeLasso"
"chr1",68147150,68150641,"ProbeLasso"
"chr1",68512699,68512923,"ProbeLasso"
"chr1",68515965,68517268,"ProbeLasso"
"chr1",68698436,68698614,"ProbeLasso"
"chr1",71170769,71173740,"ProbeLasso"
"chr1",74663467,74663751,"ProbeLasso"
"chr1",75138478,75139625,"ProbeLasso"
"chr1",75198580,75199336,"ProbeLasso"
"chr1",75590878,75591041,"ProbeLasso"
"chr1",75596680,75596837,"ProbeLasso"
"chr1",75599978,75600566,"ProbeLasso"
"chr1",75602778,75603071,"ProbeLasso"
"chr1",76251759,76252008,"ProbeLasso"
"chr1",76540048,76540173,"ProbeLasso"
"chr1",77229365,77232090,"ProbeLasso"
"chr1",77333156,77333241,"ProbeLasso"
"chr1",78507748,78511239,"ProbeLasso"
"chr1",79472204,79472457,"ProbeLasso"
"chr1",82163841,82166579,"ProbeLasso"
"chr1",84760081,84763572,"ProbeLasso"
"chr1",85527382,85527883,"ProbeLasso"
"chr1",85666666,85666751,"ProbeLasso"
"chr1",86081518,86081843,"ProbeLasso"
"chr1",86888477,86888737,"ProbeLasso"
"chr1",87169935,87170005,"ProbeLasso"
"chr1",87617218,87617429,"ProbeLasso"
"chr1",87789973,87793464,"ProbeLasso"
"chr1",89663382,89664893,"ProbeLasso"
"chr1",91172768,91173093,"ProbeLasso"
"chr1",91176383,91176546,"ProbeLasso"
"chr1",91184866,91185315,"ProbeLasso"
"chr1",91190088,91190528,"ProbeLasso"
"chr1",91193414,91198234,"ProbeLasso"
"chr1",91300053,91300608,"ProbeLasso"
"chr1",91303910,91307401,"ProbeLasso"
"chr1",91316061,91316386,"ProbeLasso"
"chr1",91870313,91870437,"ProbeLasso"
"chr1",91966335,91966467,"ProbeLasso"
"chr1",91988640,91992683,"ProbeLasso"
"chr1",92351639,92351724,"ProbeLasso"
"chr1",92950196,92950521,"ProbeLasso"
"chr1",92952162,92952765,"ProbeLasso"
"chr1",93258179,93258427,"ProbeLasso"
"chr1",93300830,93302866,"ProbeLasso"
"chr1",93909553,93913044,"ProbeLasso"
"chr1",94344909,94345072,"ProbeLasso"
"chr1",94560211,94561575,"ProbeLasso"
"chr1",95392626,95393200,"ProbeLasso"
"chr1",95974501,95977108,"ProbeLasso"
"chr1",98511128,98517017,"ProbeLasso"
"chr1",99469432,99469844,"ProbeLasso"
"chr1",99729753,99729821,"ProbeLasso"
"chr1",100111463,100112436,"ProbeLasso"
"chr1",100231869,100232185,"ProbeLasso"
"chr1",100435495,100436221,"ProbeLasso"
"chr1",100598669,100598779,"ProbeLasso"
"chr1",100714755,100715728,"ProbeLasso"
"chr1",101005373,101005530,"ProbeLasso"
"chr1",101702666,101702897,"ProbeLasso"
"chr1",101773725,101776705,"ProbeLasso"
"chr1",102461557,102462942,"ProbeLasso"
"chr1",103573511,103574728,"ProbeLasso"
"chr1",107678968,107682459,"ProbeLasso"
"chr1",108023288,108023665,"ProbeLasso"
"chr1",109240753,109244796,"ProbeLasso"
"chr1",109506624,109510115,"ProbeLasso"
"chr1",109633163,109633216,"ProbeLasso"
"chr1",109940997,109941180,"ProbeLasso"
"chr1",110140352,110142859,"ProbeLasso"
"chr1",110162423,110162530,"ProbeLasso"
"chr1",110165724,110168535,"ProbeLasso"
"chr1",110185924,110186126,"ProbeLasso"
"chr1",110198731,110198988,"ProbeLasso"
"chr1",110672607,110672932,"ProbeLasso"
"chr1",110882063,110882155,"ProbeLasso"
"chr1",111098131,111098354,"ProbeLasso"
"chr1",111218214,111218349,"ProbeLasso"
"chr1",111741677,111743354,"ProbeLasso"
"chr1",111770231,111771204,"ProbeLasso"
"chr1",112046428,112047851,"ProbeLasso"
"chr1",112282043,112282229,"ProbeLasso"
"chr1",112437835,112439283,"ProbeLasso"
"chr1",113051768,113051925,"ProbeLasso"
"chr1",113249948,113250021,"ProbeLasso"
"chr1",113265523,113265832,"ProbeLasso"
"chr1",114413556,114414601,"ProbeLasso"
"chr1",114429328,114430301,"ProbeLasso"
"chr1",114521957,114526612,"ProbeLasso"
"chr1",114696635,114696760,"ProbeLasso"
"chr1",114698217,114701708,"ProbeLasso"
"chr1",115213180,115213321,"ProbeLasso"
"chr1",115238349,115238668,"ProbeLasso"
"chr1",115258539,115262582,"ProbeLasso"
"chr1",115826657,115830700,"ProbeLasso"
"chr1",116311081,116311752,"ProbeLasso"
"chr1",116366279,116369770,"ProbeLasso"
"chr1",116371175,116371500,"ProbeLasso"
"chr1",116518676,116518801,"ProbeLasso"
"chr1",116960985,116961276,"ProbeLasso"
"chr1",117112471,117112898,"ProbeLasso"
"chr1",117284384,117284547,"ProbeLasso"
"chr1",117316584,117319485,"ProbeLasso"
"chr1",117527597,117533351,"ProbeLasso"
"chr1",117752827,117753800,"ProbeLasso"
"chr1",118165111,118166603,"ProbeLasso"
"chr1",119529150,119529381,"ProbeLasso"
"chr1",119532013,119532135,"ProbeLasso"
"chr1",119535902,119536227,"ProbeLasso"
"chr1",119541997,119543377,"ProbeLasso"
"chr1",119545182,119548673,"ProbeLasso"
"chr1",120174540,120175061,"ProbeLasso"
"chr1",144993832,144995029,"ProbeLasso"
"chr1",145090739,145094322,"ProbeLasso"
"chr1",145394500,145399069,"ProbeLasso"
"chr1",145438391,145438448,"ProbeLasso"
"chr1",145473129,145473778,"ProbeLasso"
"chr1",145548746,145549928,"ProbeLasso"
"chr1",146713896,146714082,"ProbeLasso"
"chr1",147228188,147232231,"ProbeLasso"
"chr1",147718877,147719202,"ProbeLasso"
"chr1",147799207,147804724,"ProbeLasso"
"chr1",149162380,149162543,"ProbeLasso"
"chr1",149168720,149171606,"ProbeLasso"
"chr1",149889070,149890708,"ProbeLasso"
"chr1",149907826,149908799,"ProbeLasso"
"chr1",150039019,150039171,"ProbeLasso"
"chr1",150122998,150123292,"ProbeLasso"
"chr1",150244699,150246376,"ProbeLasso"
"chr1",150459509,150460589,"ProbeLasso"
"chr1",150601502,150601793,"ProbeLasso"
"chr1",150780281,150784324,"ProbeLasso"
"chr1",150980755,150980871,"ProbeLasso"
"chr1",151032068,151032399,"ProbeLasso"
"chr1",151129038,151129559,"ProbeLasso"
"chr1",151138235,151138394,"ProbeLasso"
"chr1",151148005,151149857,"ProbeLasso"
"chr1",151161737,151162878,"ProbeLasso"
"chr1",151171009,151171106,"ProbeLasso"
"chr1",151584616,151584729,"ProbeLasso"
"chr1",151688942,151690172,"ProbeLasso"
"chr1",151693137,151693324,"ProbeLasso"
"chr1",151771237,151775280,"ProbeLasso"
"chr1",151810809,151810983,"ProbeLasso"
"chr1",152009611,152013102,"ProbeLasso"
"chr1",152487729,152488551,"ProbeLasso"
"chr1",152595874,152596091,"ProbeLasso"
"chr1",152669685,152673728,"ProbeLasso"
"chr1",152680726,152683233,"ProbeLasso"
"chr1",152729103,152732332,"ProbeLasso"
"chr1",152775361,152779404,"ProbeLasso"
"chr1",152942788,152946831,"ProbeLasso"
"chr1",152956081,152960124,"ProbeLasso"
"chr1",153030405,153030703,"ProbeLasso"
"chr1",153120182,153124225,"ProbeLasso"
"chr1",153175555,153179598,"ProbeLasso"
"chr1",153232365,153236408,"ProbeLasso"
"chr1",153344169,153348212,"ProbeLasso"
"chr1",153350890,153353397,"ProbeLasso"
"chr1",153362441,153363749,"ProbeLasso"
"chr1",153413763,153414048,"ProbeLasso"
"chr1",153504044,153508601,"ProbeLasso"
"chr1",153514333,153514591,"ProbeLasso"
"chr1",153517829,153521973,"ProbeLasso"
"chr1",153577777,153582053,"ProbeLasso"
"chr1",153589291,153593334,"ProbeLasso"
"chr1",153599219,153600091,"ProbeLasso"
"chr1",153662329,153662486,"ProbeLasso"
"chr1",153669533,153672265,"ProbeLasso"
"chr1",153700008,153700183,"ProbeLasso"
"chr1",153747488,153747613,"ProbeLasso"
"chr1",153760948,153763818,"ProbeLasso"
"chr1",153914374,153914570,"ProbeLasso"
"chr1",153959246,153959439,"ProbeLasso"
"chr1",154125931,154130063,"ProbeLasso"
"chr1",154323995,154326872,"ProbeLasso"
"chr1",154377301,154377491,"ProbeLasso"
"chr1",154436122,154441537,"ProbeLasso"
"chr1",154518166,154523600,"ProbeLasso"
"chr1",154842456,154843230,"ProbeLasso"
"chr1",154909202,154909344,"ProbeLasso"
"chr1",154941685,154945546,"ProbeLasso"
"chr1",154955429,154955672,"ProbeLasso"
"chr1",154963522,154967593,"ProbeLasso"
"chr1",155006424,155007810,"ProbeLasso"
"chr1",155058427,155061918,"ProbeLasso"
"chr1",155102383,155104889,"ProbeLasso"
"chr1",155155173,155160340,"ProbeLasso"
"chr1",155166499,155168176,"ProbeLasso"
"chr1",155291181,155291412,"ProbeLasso"
"chr1",155293931,155294130,"ProbeLasso"
"chr1",155825229,155828458,"ProbeLasso"
"chr1",155881603,155885646,"ProbeLasso"
"chr1",155904005,155904200,"ProbeLasso"
"chr1",155931143,155932344,"ProbeLasso"
"chr1",156095395,156096788,"ProbeLasso"
"chr1",156118204,156120872,"ProbeLasso"
"chr1",156123151,156123760,"ProbeLasso"
"chr1",156211739,156213416,"ProbeLasso"
"chr1",156217912,156218105,"ProbeLasso"
"chr1",156252227,156253262,"ProbeLasso"
"chr1",156304818,156306564,"ProbeLasso"
"chr1",156357677,156358201,"ProbeLasso"
"chr1",156390008,156390366,"ProbeLasso"
"chr1",156399576,156403914,"ProbeLasso"
"chr1",156405356,156405519,"ProbeLasso"
"chr1",156460044,156460735,"ProbeLasso"
"chr1",156464135,156468802,"ProbeLasso"
"chr1",156588436,156591665,"ProbeLasso"
"chr1",156607778,156611269,"ProbeLasso"
"chr1",156616701,156616933,"ProbeLasso"
"chr1",156628019,156632994,"ProbeLasso"
"chr1",156722532,156726023,"ProbeLasso"
"chr1",156784986,156788215,"ProbeLasso"
"chr1",156902834,156907443,"ProbeLasso"
"chr1",157070567,157070853,"ProbeLasso"
"chr1",157108643,157108865,"ProbeLasso"
"chr1",157490060,157491243,"ProbeLasso"
"chr1",157893974,157897653,"ProbeLasso"
"chr1",157948734,157948974,"ProbeLasso"
"chr1",158083286,158083731,"ProbeLasso"
"chr1",158119233,158119558,"ProbeLasso"
"chr1",158150466,158150697,"ProbeLasso"
"chr1",158172434,158175501,"ProbeLasso"
"chr1",158300551,158301524,"ProbeLasso"
"chr1",159046828,159047142,"ProbeLasso"
"chr1",159141601,159142006,"ProbeLasso"
"chr1",159169192,159174641,"ProbeLasso"
"chr1",159556490,159560533,"ProbeLasso"
"chr1",159680476,159684519,"ProbeLasso"
"chr1",159768010,159771463,"ProbeLasso"
"chr1",159824839,159825773,"ProbeLasso"
"chr1",159890023,159893821,"ProbeLasso"
"chr1",160039843,160039974,"ProbeLasso"
"chr1",160049763,160053053,"ProbeLasso"
"chr1",160085489,160085648,"ProbeLasso"
"chr1",160254498,160255019,"ProbeLasso"
"chr1",160336377,160336594,"ProbeLasso"
"chr1",160384797,160387247,"ProbeLasso"
"chr1",160389097,160389254,"ProbeLasso"
"chr1",160708753,160709726,"ProbeLasso"
"chr1",160767711,160769388,"ProbeLasso"
"chr1",160854693,160855214,"ProbeLasso"
"chr1",160950422,160953957,"ProbeLasso"
"chr1",161049500,161049733,"ProbeLasso"
"chr1",161059006,161059587,"ProbeLasso"
"chr1",161067864,161067989,"ProbeLasso"
"chr1",161087176,161087467,"ProbeLasso"
"chr1",161123450,161124488,"ProbeLasso"
"chr1",161167528,161171189,"ProbeLasso"
"chr1",161181740,161185841,"ProbeLasso"
"chr1",161195839,161196812,"ProbeLasso"
"chr1",161347642,161350370,"ProbeLasso"
"chr1",161359703,161359866,"ProbeLasso"
"chr1",161582419,161582814,"ProbeLasso"
"chr1",161689450,161691957,"ProbeLasso"
"chr1",161719563,161719648,"ProbeLasso"
"chr1",162602272,162602793,"ProbeLasso"
"chr1",162791930,162792255,"ProbeLasso"
"chr1",164290016,164290437,"ProbeLasso"
"chr1",165204264,165204555,"ProbeLasso"
"chr1",165327522,165331702,"ProbeLasso"
"chr1",165343786,165347269,"ProbeLasso"
"chr1",165413929,165414640,"ProbeLasso"
"chr1",165512766,165513848,"ProbeLasso"
"chr1",166037422,166041465,"ProbeLasso"
"chr1",166134267,166135346,"ProbeLasso"
"chr1",166136445,166136570,"ProbeLasso"
"chr1",166890301,166890515,"ProbeLasso"
"chr1",167090948,167091239,"ProbeLasso"
"chr1",167409053,167409344,"ProbeLasso"
"chr1",167523430,167526921,"ProbeLasso"
"chr1",167595695,167599186,"ProbeLasso"
"chr1",167682485,167683085,"ProbeLasso"
"chr1",169396847,169396972,"ProbeLasso"
"chr1",169428351,169431225,"ProbeLasso"
"chr1",170636761,170638634,"ProbeLasso"
"chr1",171154352,171154873,"ProbeLasso"
"chr1",171810260,171810385,"ProbeLasso"
"chr1",172113020,172114906,"ProbeLasso"
"chr1",172413346,172413637,"ProbeLasso"
"chr1",173176101,173176626,"ProbeLasso"
"chr1",173793895,173793948,"ProbeLasso"
"chr1",173836582,173837224,"ProbeLasso"
"chr1",174964564,174968055,"ProbeLasso"
"chr1",175162001,175162615,"ProbeLasso"
"chr1",175474177,175474794,"ProbeLasso"
"chr1",175855528,175859072,"ProbeLasso"
"chr1",176809623,176813666,"ProbeLasso"
"chr1",177224979,177226375,"ProbeLasso"
"chr1",178991042,178994533,"ProbeLasso"
"chr1",179556208,179559705,"ProbeLasso"
"chr1",180165450,180166423,"ProbeLasso"
"chr1",180882510,180882826,"ProbeLasso"
"chr1",180910920,180912249,"ProbeLasso"
"chr1",181999205,181999530,"ProbeLasso"
"chr1",182027062,182030291,"ProbeLasso"
"chr1",182574310,182577801,"ProbeLasso"
"chr1",182760290,182763519,"ProbeLasso"
"chr1",182808474,182808559,"ProbeLasso"
"chr1",183155086,183156059,"ProbeLasso"
"chr1",183385816,183386107,"ProbeLasso"
"chr1",183604731,183604872,"ProbeLasso"
"chr1",184724712,184724837,"ProbeLasso"
"chr1",185703272,185703414,"ProbeLasso"
"chr1",186649107,186649578,"ProbeLasso"
"chr1",197887923,197888214,"ProbeLasso"
"chr1",198827518,198828547,"ProbeLasso"
"chr1",198905240,198908916,"ProbeLasso"
"chr1",199715976,199718717,"ProbeLasso"
"chr1",199998115,199999088,"ProbeLasso"
"chr1",200004059,200004716,"ProbeLasso"
"chr1",200011128,200011865,"ProbeLasso"
"chr1",200271950,200272377,"ProbeLasso"
"chr1",200862609,200865921,"ProbeLasso"
"chr1",201083378,201083576,"ProbeLasso"
"chr1",201346386,201347658,"ProbeLasso"
"chr1",201476241,201476682,"ProbeLasso"
"chr1",201708438,201708620,"ProbeLasso"
"chr1",201776770,201778201,"ProbeLasso"
"chr1",201857580,201858826,"ProbeLasso"
"chr1",201915630,201916107,"ProbeLasso"
"chr1",201975193,201980199,"ProbeLasso"
"chr1",202091841,202091905,"ProbeLasso"
"chr1",202679728,202679794,"ProbeLasso"
"chr1",202927390,202927517,"ProbeLasso"
